Year,Organisation,Critical Industry,Organisation size,Level of digital intensity,Sector,Country,Cyber security role,Cyber security frameworks,Education and awareness policy,Policy,"Prevention, Detection and Recovery",Improper network segmentation,Inappropriate remote access,Absence of encryption,Detector,Restructuring after attack,Bribe/ransom paid,Free identity or credit theft monitoring,Additional disclosure of information,Number of users affected,Overall nature of attack,Attack type,Attacker,Attack vector,Impact on data,Aspect of Confidentiality-Integrity-Availability triad affected,Individual(s) name(s) leaked/exposed,Address(es) leaked/exposed,Other personally identifiable information (PII) leaked/exposed,Track 1 - Credit card details leaked/exposed,Track 2 - Credit card details leaked/exposed,Social security number/tax number leaked/exposed,Subsequent fraudulent use of data,Investigation,Undertook investigation,Litigation by public,Penalties/settlement paid or actions imposed,Imposed penalties or actions on organisation,Fines issued by government or relevant body,Settlement paid,Effect on share price,Summary,
2016,1-800-Flowers,No,Large,Medium-High,"Wholesale, retail trade and repair",Canada,Yes,No,No,Yes,Low,No,No,No,Public,Yes,No,No,Yes,Missing,Type 4,Web compromise,External,NA,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,?,Unknown attack on website,
2017,"ABCD Pediatrics, P.A.",Yes,Medium,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,Yes,No,No,Organisation,Yes,No,No,Yes,55447,Type 1,Installed malware,External,NA,High,Availability,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Ransomware ,
2014,"ABM Parking Services, Inc.",No,Large,High,Other service activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Public,Yes,No,Yes,Yes,Missing,NA,NA,External,NA,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unknown,
2012,Accretive Health,Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,NA,No,No,Yes,23000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,Laptop stolen with no encryption,
2018,"AccuDoc Solutions, Inc.",Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,No,Yes,2650000,Type 2,NA,External,Vendor vulnerability,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Vendor had a security vulnerability,
2016,Acer Service Corporation,Yes,Large,Medium-High,"Computer, electronic and optical products",USA,No,No,No,Yes,Low,Yes,No,Yes,Public,Yes,No,No,Yes,34500,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No change,Unknown attack on website,
2017,Acme Car Wash and Clearwater Express,No,NA,High,Other service activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 1,Installed malware,External,Vendor vulnerability,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,Vendor vulnerability for website,
2018,Adidas,No,Large,Low-Medium,"Textiles, wearing apparel and leather",Global,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,Missing,Type 1,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,Website was hacked,
2013,Administrative Office of the Courts - Washington,Yes,Large,Medium-High,Public administration and defence,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,160000,NA,NA,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2013,Adobe,Yes,Large,High,IT and other information services,Global,No,No,No,Yes,Low,Yes,NA,Yes,Organisation,Yes,No,No,No,38000000,NA,NA,External,Unknown network attack,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,Yes,Yes,Yes,Yes,No,No,Yes,?,Found a backup server and raided,
2015,Adult Friend Finder,No,NA,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,NA,Yes,Yes,Organisation,No,No,No,No,3500000,NA,NA,External,Unknown website/web application attack,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Data was hacked and published,
2008,Advance Auto Parts,Yes,Medium,Medium-High,Machine equipment,USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,NA,No,No,Yes,56000,NA,NA,External,Unknown network attack,High,Confidentiality,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,No,No change,Network intrusion,
2015,Advantage Dental,Yes,Medium,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Public,Yes,No,Yes,Yes,151000,Type 1,Installed malware,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Malware installed,
2018,AdventHealth Rollins Brook Hospital,Yes,Large,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Low,Yes,No,Yes,Public,Yes,No,Yes,No,42000,Type 1,Installed malware,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Malware installed,
2013,Advocate Medical Group,Yes,Large,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,High,Confidentiality,Yes,No,Yes,Yes,NA,Yes,No,Yes,Yes,No,Yes,No,Yes,No,NA,Computers stolen,
2009,Aetna,No,Large,High,Finance and insurance,USA,No,No,No,Yes,Low,Yes,No,Yes,NA,Yes,No,Yes,No,65000,Type 4,Web compromise,External,NA,High,Confidentiality,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,NA,Job application website was hacked.,
2014,Affinity Gaming,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,Yes,No,Yes,Public,Yes,No,NA,NA,Missing,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed,
2008,Agilent Technologies,Yes,Large,Low-Medium,Chemicals and chemical products,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,NA,No,Yes,NA,51000,Type 3,Physical Theft,External,Vendor vulnerability,High,Confidentiality,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No change,Laptop stolen,
2013,AHMC Healthcare Inc. ,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,Yes,729000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2017,"Airway Oxygen, Inc.",Yes,NA,Low-Medium,Chemicals and chemical products,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,500000,Type 1,Installed malware,External,NA,High,Availability,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,NA,Ransomware ,
2017,Alamo Capital,Yes,Medium,High,Finance and insurance,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unknown,
2019,Alana Healthcare,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,No,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 2,NA,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unknown incident enabled through access to employee account,
2014,Alaska Communications,No,Large,High,Advertising and other business services,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,No,Missing,Type 1,Installed malware,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Virus installed,
2018,Alaska Department of Health  Social Services,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,NA,Organisation,NA,No,NA,NA,501000,Type 1,Installed malware,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,NA,Malware installed,
2018,Alaska Division of Public Assistance,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,NA,Yes,Organisation,NA,No,No,NA,87000,Type 1,Installed malware,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Virus was installed,
2014,Albertson's LLC,Yes,Large,Low,Accommodation and food service activities,USA,No,No,No,Yes,Low,NA,No,NA,Organisation,NA,No,No,No,Missing,Type 1,Installed malware,External,Vendor vulnerability,High,Confidentiality,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Vendor vulnerability through third party services,
2017,Alton Lane,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Medium,Yes,No,NA,Organisation,Yes,No,No,No,Missing,Type 1,Installed malware,External,Insufficient input validation,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Code was injected into the website,
2017,America's Job Link Alliance,No,Small,High,Public administration and defence,USA,No,No,No,Yes,Low,Yes,No,NA,Organisation,NA,No,Yes,No,Missing,Type 4,Web compromise,External,Vendor vulnerability,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Attacker created an account and exploited a vulnerability in the code,
2013,American Express,Yes,Large,High,Finance and insurance,USA,Yes,No,No,Yes,Low,NA,NA,NA,Organisation,No,No,No,Yes,Missing,Type 2,NA,External,Vendor vulnerability,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No change,Third party vulnerability,
2010,American Honda Motor Company,Yes,Large,Medium-High,Machine equipment,USA,No,No,No,Yes,Low,NA,No,Yes,Organisation,NA,No,NA,Yes,4900000,Type 2,NA,External,Vendor vulnerability,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Database was hacked. Managed by third party,
2014,American Residuals and  Talent Inc.,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,Yes,No,No,Yes,Low,NA,No,NA,Organisation,NA,No,Yes,No,Missing,Type 2,NA,External,Vendor vulnerability,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown attack involving vendor,
2012,Ameritas Life Insurance Corp.,No,Large,High,Finance and insurance,USA,Yes,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,No,Missing,Type 2,NA,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Phishing attack,
2017,"Andrea Yaley, DDS",Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,NA,No,NA,Organisation,No,No,Yes,Yes,Missing,Type 1,Installed malware,External,NA,High,Availability,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,Ransomware ,
2011,"Ankle + Foot Center of Tampa Bay, Inc.",Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,NA,No,NA,Organisation,NA,No,NA,NA,156000,NA,NA,External,NA,High,Confidentiality,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,Unknown,
2016,"Anne M. Cummings, M.D. F.A.C.P",Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,NA,No,NA,Organisation,No,No,No,Yes,Missing,Type 1,Installed malware,External,Vendor vulnerability,High,Availability,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Ransomware ,
2015,Anthem/Blue Cross,No,Large,High,Finance and insurance,Global,No,No,No,Yes,Low,Yes,No,Yes,NA,NA,No,Yes,Yes,79000000,NA,NA,External,Unknown network attack,High,Confidentiality,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Attack on server,
2014,AOL,Yes,Large,High,IT and other information services,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,NA,NA,External,NA,High,Confidentiality,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,NA,Hack exposing customer data,
2004,AOL,Yes,Large,High,IT and other information services,USA,No,No,No,Yes,Low,No,No,Yes,Public,Yes,No,No,No,92000000,NA,NA,Internal,Inappropriate use of privilege,High,Confidentiality,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,?,Had access to credit card types but not numbers. Gained access to warehouse but there was segmentation but the attacker gained access to another's code,
2014,Apple,Yes,Large,High,IT and other information services,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,Missing,Type 2,NA,External,Insufficient authentication validation,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,?,iCloud accounts hacked through insufficient password security mechanisms,
2012,"Apria Healthcare, Inc.",Yes,Large,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,No,11000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Laptop stolen,
2017,Arby's,Yes,Large,Low,Accommodation and food service activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Credit card/bank,Yes,No,NA,Yes,Missing,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,No,Yes,Yes,NA,No,Yes,Yes,No,Yes,Yes,No,No,Yes,NA,Malware installed on PoS,
2017,Arkansas Oral & Facial Surgery Center,Yes,Medium,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,No,128000,Type 1,Installed malware,External,NA,High,Availability,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Ransomware ,
2007,Art.com,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,NA,NA,Missing,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Credit card data hacked,
2018,Artesia General Hospital,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,No,13905,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2017,Ashland Women's Health,Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,No,19727,Type 1,Installed malware,External,NA,High,Availability,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Ransomware ,
2015,Ashley Madison,No,NA,Medium-High,"Arts, entertainment and recreation",Global,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,No,Missing,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,NA,Database was hacked. Including emails.,
